id,word,grade_level,,,,
4,a,K,,,,
5,and,K,,,,
6,away,K,,,,
7,big,K,,,,
8,blue,K,,,,
9,can,K,,,,
10,come,K,,,,
11,down,K,,,,
12,find,K,,,,
13,for,K,,,,
14,funny,K,,,,
15,go,K,,,,
16,help,K,,,,
17,here,K,,,,
18,I,K,,,,
19,in,K,,,,
20,is,K,,,,
21,it,K,,,,
22,jump,K,,,,
23,little,K,,,,
24,look,K,,,,
25,make,K,,,,
26,me,K,,,,
27,my,K,,,,
28,not,K,,,,
29,one,K,,,,
30,play,K,,,,
31,red,K,,,,
32,run,K,,,,
33,said,K,,,,
34,see,K,,,,
35,the,K,,,,
36,three,K,,,,
37,to,K,,,,
38,two,K,,,,
39,up,K,,,,
40,we,K,,,,
41,where,K,,,,
42,yellow,K,,,,
43,you,K,,,,
44,all,K,,,,
45,am,K,,,,
46,are,K,,,,
47,at,K,,,,
48,ate,K,,,,
49,be,K,,,,
50,black,K,,,,
51,brown,K,,,,
52,but,K,,,,
53,came,K,,,,
54,did,K,,,,
55,do,K,,,,
56,eat,K,,,,
57,four,K,,,,
58,get,K,,,,
59,good,K,,,,
60,have,K,,,,
61,he,K,,,,
62,into,K,,,,
63,like,K,,,,
64,must,K,,,,
65,new,K,,,,
66,no,K,,,,
67,now,K,,,,
68,on,K,,,,
69,our,K,,,,
70,out,K,,,,
71,please,K,,,,
72,pretty,K,,,,
73,ran,K,,,,
74,ride,K,,,,
75,saw,K,,,,
76,say,K,,,,
77,she,K,,,,
78,so,K,,,,
79,soon,K,,,,
80,that,K,,,,
81,there,K,,,,
82,they,K,,,,
83,this,K,,,,
84,too,K,,,,
85,under,K,,,,
86,want,K,,,,
87,was,K,,,,
88,well,K,,,,
89,went,K,,,,
90,what,K,,,,
91,white,K,,,,
92,who,K,,,,
93,will,K,,,,
94,with,K,,,,
95,yes,K,,,,
96,after,1,,,,
97,again,1,,,,
98,an,1,,,,
99,any,1,,,,
100,as,1,,,,
101,ask,1,,,,
102,by,1,,,,
103,could,1,,,,
104,every,1,,,,
105,fly,1,,,,
106,from,1,,,,
107,give,1,,,,
108,going,1,,,,
109,had,1,,,,
110,has,1,,,,
111,her,1,,,,
112,him,1,,,,
113,his,1,,,,
114,how,1,,,,
115,just,1,,,,
116,know,1,,,,
117,let,1,,,,
118,live,1,,,,
119,may,1,,,,
120,of,1,,,,
121,old,1,,,,
122,once,1,,,,
123,open,1,,,,
124,over,1,,,,
125,put,1,,,,
126,round,1,,,,
127,some,1,,,,
128,stop,1,,,,
129,take,1,,,,
130,thank,1,,,,
131,them,1,,,,
132,then,1,,,,
133,think,1,,,,
134,walk,1,,,,
135,were,1,,,,
136,when,1,,,,
137,always,2,,,,
138,around,2,,,,
139,because,2,,,,
140,been,2,,,,
141,before,2,,,,
142,best,2,,,,
143,both,2,,,,
144,buy,2,,,,
145,call,2,,,,
146,cold,2,,,,
147,does,2,,,,
148,don’t,2,,,,
149,fast,2,,,,
150,first,2,,,,
151,five,2,,,,
152,found,2,,,,
153,gave,2,,,,
154,goes,2,,,,
155,green,2,,,,
156,its,2,,,,
157,made,2,,,,
158,many,2,,,,
159,off,2,,,,
160,or,2,,,,
161,pull,2,,,,
162,read,2,,,,
163,right,2,,,,
164,sing,2,,,,
165,sit,2,,,,
166,sleep,2,,,,
167,tell,2,,,,
168,their,2,,,,
169,these,2,,,,
170,those,2,,,,
171,upon,2,,,,
172,us,2,,,,
173,use,2,,,,
174,very,2,,,,
175,wash,2,,,,
176,which,2,,,,
177,why,2,,,,
178,wish,2,,,,
179,work,2,,,,
180,would,2,,,,
181,write,2,,,,
182,your,2,,,,
183,about,3,,,,
184,better,3,,,,
185,bring,3,,,,
186,carry,3,,,,
187,clean,3,,,,
188,cut,3,,,,
189,done,3,,,,
190,draw,3,,,,
191,drink,3,,,,
192,eight,3,,,,
193,fall,3,,,,
194,far,3,,,,
195,full,3,,,,
196,got,3,,,,
197,grow,3,,,,
198,hold,3,,,,
199,hot,3,,,,
200,hurt,3,,,,
201,if,3,,,,
202,keep,3,,,,
203,kind,3,,,,
204,laugh,3,,,,
205,light,3,,,,
206,long,3,,,,
207,much,3,,,,
208,myself,3,,,,
209,never,3,,,,
210,only,3,,,,
211,own,3,,,,
212,pick,3,,,,
213,seven,3,,,,
214,shall,3,,,,
215,show,3,,,,
216,six,3,,,,
217,small,3,,,,
218,start,3,,,,
219,ten,3,,,,
220,today,3,,,,
221,together,3,,,,
222,try,3,,,,
223,warm,3,,,,
